epoch,accuracy,auc,loss,lr,recall,val_accuracy,val_auc,val_loss,val_recall
0,0.5796874761581421,0.4928979277610779,0.382985383272171,5e-05,0.6359447240829468,0.3371710479259491,0.45051759481430054,0.2500021457672119,0.24637681245803833
1,0.7734375,0.5098158717155457,0.19339463114738464,5e-05,0.9644502997398376,0.6233552694320679,0.4880579710006714,0.22477200627326965,0.7349896430969238
2,0.7734375,0.4997931122779846,0.1906834989786148,5e-05,0.9703752398490906,0.7286184430122375,0.5197432637214661,0.21251992881298065,0.9047619104385376
3,0.7708333134651184,0.4758569300174713,0.18938162922859192,5e-05,0.9670836329460144,0.6217105388641357,0.5042401552200317,0.22272233664989471,0.7329192757606506
4,0.7796875238418579,0.4961165487766266,0.1846838742494583,5e-05,0.9789335131645203,0.6184210777282715,0.4911966919898987,0.2207539975643158,0.7308488488197327
5,0.778124988079071,0.5117883086204529,0.1810670644044876,5e-05,0.9776168465614319,0.6743420958518982,0.49082404375076294,0.21281492710113525,0.8157349824905396
6,0.785937488079071,0.47725075483322144,0.18118122220039368,2.25e-05,0.9868334531784058,0.6200658082962036,0.48178884387016296,0.22023499011993408,0.7246376872062683
7,0.7770833373069763,0.49036067724227905,0.17977403104305267,2.25e-05,0.9809085130691528,0.5180920958518982,0.47773081064224243,0.23123972117900848,0.5610765814781189
8,0.7791666388511658,0.49695873260498047,0.17941251397132874,2.25e-05,0.9828834533691406,0.5065789222717285,0.49324220418930054,0.23252633213996887,0.5320910811424255
9,0.785937488079071,0.4897606372833252,0.1786331832408905,1.0125e-05,0.9907833933830261,0.5180920958518982,0.4889441132545471,0.22986198961734772,0.5507246255874634
