epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_balanced_acc,val_loss,val_precision,val_recall
0,0.5708111524581909,0.5985945463180542,1.0002816915512085,0.6142857074737549,0.37291526794433594,0.7906249761581421,0.6857338547706604,0.5,0.9312790036201477,0.7906249761581421,1.0
1,0.6203457713127136,0.6613461971282959,0.9505288004875183,0.6541095972061157,0.5086551308631897,0.35624998807907104,0.7020529508590698,0.5764261695475194,0.9186293482780457,0.9433962106704712,0.197628453373909
2,0.6376329660415649,0.6965656280517578,0.9115102887153625,0.6818980574607849,0.5159574747085571,0.21875,0.7386289834976196,0.5059288537549407,0.9123160243034363,1.0,0.011857707053422928
3,0.6389627456665039,0.7083665132522583,0.874891459941864,0.6830986142158508,0.5166444778442383,0.24531249701976776,0.7413574457168579,0.5227272727272727,0.8719404339790344,1.0,0.04545454680919647
4,0.6436170339584351,0.7199440598487854,0.8412796854972839,0.6921005249023438,0.5139999985694885,0.26093751192092896,0.7251046895980835,0.532608695652174,0.8373562097549438,1.0,0.06521739065647125
5,0.6658909320831299,0.7289013862609863,0.8097584247589111,0.7195767164230347,0.5429141521453857,0.28593748807907104,0.7214692234992981,0.5484189723320159,0.8070699572563171,1.0,0.09683794528245926
6,0.6672207713127136,0.7361969947814941,0.780060887336731,0.7191600799560547,0.5472702980041504,0.32343751192092896,0.735465407371521,0.5693911863606866,0.7729674577713013,0.9866666793823242,0.1462450623512268
7,0.6742021441459656,0.7418862581253052,0.7511727213859558,0.7255411148071289,0.5582944750785828,0.3656249940395355,0.7271326780319214,0.5933278272668279,0.7459455728530884,0.9807692170143127,0.20158103108406067
8,0.6801861524581909,0.7489199042320251,0.7252529859542847,0.7333333492279053,0.564290463924408,0.4937500059604645,0.73414546251297,0.6524098873222819,0.7052344679832458,0.9504950642585754,0.3794466257095337
9,0.6685505509376526,0.7460898756980896,0.7020158171653748,0.7262969613075256,0.5402528047561646,0.4437499940395355,0.7308492660522461,0.629018936935874,0.6902256011962891,0.957317054271698,0.31027668714523315
10,0.6738696694374084,0.7431597709655762,0.6792629361152649,0.7201336622238159,0.5716180205345154,0.5078125,0.7294038534164429,0.658559966963601,0.6607153415679932,0.9483568072319031,0.39920949935913086
11,0.6771941781044006,0.7541965842247009,0.6578869819641113,0.7367021441459656,0.5521594882011414,0.4781250059604645,0.7381717562675476,0.6452716653884727,0.6423766016960144,0.9526315927505493,0.35770750045776367
12,0.6801861524581909,0.7551748752593994,0.6378873586654663,0.7366148829460144,0.5649006366729736,0.48750001192092896,0.7333711981773376,0.6512005191434134,0.6254531145095825,0.954081654548645,0.3695652186870575
13,0.6755319237709045,0.7474289536476135,0.6209242939949036,0.727820873260498,0.5614618062973022,0.45781248807907104,0.7418736219406128,0.640655418559377,0.6101275086402893,0.9649122953414917,0.32608696818351746
14,0.6815159320831299,0.749817967414856,0.6043848395347595,0.7303465604782104,0.57485032081604,0.37968748807907104,0.725576639175415,0.602221107899239,0.6114712357521057,0.982300877571106,0.2193675935268402
15,0.6914893388748169,0.7597536444664001,0.5870996117591858,0.7616906762123108,0.560927152633667,0.44999998807907104,0.7419694662094116,0.6357147070969265,0.5827580690383911,0.9638554453849792,0.31620553135871887
16,0.6858377456665039,0.7636728286743164,0.5716915726661682,0.7316267490386963,0.5883134007453918,0.4828124940395355,0.7346837520599365,0.648236092265943,0.5644723176956177,0.9533678889274597,0.3636363744735718
